,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1084,0.495,0.751,2,-7.334,1,0.0554,0.000728,0.0342,0.591,0.725,107.073,audio_features,4nJCE9UyNXhuERnSX8YgSH,spotify:track:4nJCE9UyNXhuERnSX8YgSH,https://api.spotify.com/v1/tracks/4nJCE9UyNXhuERnSX8YgSH,https://api.spotify.com/v1/audio-analysis/4nJCE9UyNXhuERnSX8YgSH,245520,4
1085,0.564,0.554,0,-6.63,1,0.0263,0.139,0.0,0.0751,0.441,123.18,audio_features,15wFxoOOHad7hGFifaU9ef,spotify:track:15wFxoOOHad7hGFifaU9ef,https://api.spotify.com/v1/tracks/15wFxoOOHad7hGFifaU9ef,https://api.spotify.com/v1/audio-analysis/15wFxoOOHad7hGFifaU9ef,216547,4
1086,0.277,0.67,6,-9.381,1,0.0376,6.28e-05,0.751,0.237,0.217,148.342,audio_features,7bu0znpSbTks0O6I98ij0W,spotify:track:7bu0znpSbTks0O6I98ij0W,https://api.spotify.com/v1/tracks/7bu0znpSbTks0O6I98ij0W,https://api.spotify.com/v1/audio-analysis/7bu0znpSbTks0O6I98ij0W,254627,4
1087,0.615,0.815,5,-7.128,1,0.0373,0.475,0.0,0.0964,0.765,150.733,audio_features,298jnAsgLcTRkRP5TKB7Mj,spotify:track:298jnAsgLcTRkRP5TKB7Mj,https://api.spotify.com/v1/tracks/298jnAsgLcTRkRP5TKB7Mj,https://api.spotify.com/v1/audio-analysis/298jnAsgLcTRkRP5TKB7Mj,174400,4
1088,0.75,0.62,7,-8.72,1,0.0257,0.0932,0.0135,0.0612,0.93,103.538,audio_features,6kotXaSQaGYxE62hVpdHWu,spotify:track:6kotXaSQaGYxE62hVpdHWu,https://api.spotify.com/v1/tracks/6kotXaSQaGYxE62hVpdHWu,https://api.spotify.com/v1/audio-analysis/6kotXaSQaGYxE62hVpdHWu,209467,4
1089,0.848,0.868,1,-7.599,1,0.0858,0.142,0.013,0.134,0.871,108.623,audio_features,653Fi3bqMxQQQmjw72ur6G,spotify:track:653Fi3bqMxQQQmjw72ur6G,https://api.spotify.com/v1/tracks/653Fi3bqMxQQQmjw72ur6G,https://api.spotify.com/v1/audio-analysis/653Fi3bqMxQQQmjw72ur6G,281693,4
1090,0.742,0.321,0,-13.728,1,0.0315,0.963,0.0432,0.11,0.613,107.349,audio_features,5Zpy2HR2vYLjlTQVd81DLH,spotify:track:5Zpy2HR2vYLjlTQVd81DLH,https://api.spotify.com/v1/tracks/5Zpy2HR2vYLjlTQVd81DLH,https://api.spotify.com/v1/audio-analysis/5Zpy2HR2vYLjlTQVd81DLH,246800,4
1091,0.604,0.354,9,-14.07,1,0.0313,0.836,0.00474,0.103,0.635,137.349,audio_features,3mM14WXoPaLRjjkmxHe99L,spotify:track:3mM14WXoPaLRjjkmxHe99L,https://api.spotify.com/v1/tracks/3mM14WXoPaLRjjkmxHe99L,https://api.spotify.com/v1/audio-analysis/3mM14WXoPaLRjjkmxHe99L,180960,4
1092,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,audio_features,33ZXjLCpiINn8eQIDYEPTD,spotify:track:33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/tracks/33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/audio-analysis/33ZXjLCpiINn8eQIDYEPTD,325507,4
1093,0.435,0.939,8,-3.845,0,0.111,0.0122,0.00466,0.0614,0.559,134.938,audio_features,0XyjtybwqSdqMAFfBEkmZf,spotify:track:0XyjtybwqSdqMAFfBEkmZf,https://api.spotify.com/v1/tracks/0XyjtybwqSdqMAFfBEkmZf,https://api.spotify.com/v1/audio-analysis/0XyjtybwqSdqMAFfBEkmZf,157333,4
